,id,question,A,B,C,D,answer
1314,Mercury_411712,The mathematical model for calculating speed is shown below. Speed = distance/time. An airplane traveled 700 kilometers in two hours during a trip. What was the average speed of the plane during the trip?,5.8 kilometers per hour,350 kilometers per hour,1400 kilometers per hour,"84,000 kilometers per hour",B
1315,ACTAAP_2008_5_2,What is the best way for a marine scientist to determine the eating habits of sharks?,Tag one shark and monitor its eating habits for one day.,Tag one shark and monitor its eating habits for one year.,Tag several sharks and monitor their eating habits for one day.,Tag several sharks and monitor their eating habits for one year.,D
1316,OHAT_2010_5_33,A student pushes a wooden block across a sheet of sandpaper. Which characteristic of the block increases?,hardness,mass,size,temperature,D
1317,Mercury_SC_410573,Amanda is learning about different adaptations of animals. Which is an example of a behavioral adaptation?,webbed feet on a duck,migration of songbirds,sharp eyesight of an eagle,camouflaged colors on a frog,B
1318,MCAS_2003_8_23,Which of the following is the best example of a custom-made product?,graphing calculator,light bulb,needle nose pliers,artificial leg,D
1319,Mercury_7131705,Michelle is interested in improving the quality of the soil in her yard. She wants more water and air to penetrate the soil. What should she add to the soil to help her achieve this goal?,bacteria,fertilizers,pesticides,earthworms,D
1320,Mercury_7090808,Which of these could cause water vapor to condense into rain droplets?,sunlight warming the surface of oceans,air rising into colder regions of the atmosphere,lightning heating the air in the atmosphere,winds blowing along the surface of the ground,B
1321,Mercury_7263130,The human body processes and eliminates food waste using the organs of the excretory system. Which organelle performs a similar function in humans at the cellular level?,mitochondrion,endoplasmic reticulum,lysosome,Golgi complex,C
1322,Mercury_SC_400237,What causes the most soil and rock erosion?,sun,wind,water,gravity,C
1323,Mercury_7012635,The theory of continental drift states that the land masses called continents were once closer together and have drifted apart over time. Which circumstance is the strongest evidence in support of this theory?,the migration patterns of birds,the periodic climate changes of Earth,the large variety of animals on each continent,the similarity of fossils on different continents,D
1324,Mercury_7108115,"Rich beds of marine fossils have been found in Florida. By dating these fossils, scientists can best determine",when Florida collided with the North American continent.,the date when organisms moved onto dry land.,the period during which Florida was covered in water.,when the atmosphere of Earth was more humid than it is today.,C
1325,OHAT_2010_5_34,"In the forest, one type of tree produces special seeds. These seeds start to grow only after going through a fire. In the fire, the adult trees are destroyed. Which resources, needed for growth, are now available to the newly growing seeds?",sunlight and wind,sunlight and space,soil and pollen producers,pollen producers and space,B
1326,NCEOGA_2013_5_53,Which is an example of a decomposer?,a hawk,a mouse,a flower,a mushroom,D
1327,Mercury_7024920,"In the lab, students are working with substances that could cause burns. Which of these safety precautions is most important to follow?",Sinks are empty.,Glassware is clean.,Eye protection is worn.,Electrical equipment is off.,C
1328,Mercury_7203543,Which process moves an ion across a cell membrane against the concentration gradient?,diffusion,exocytosis,facilitated diffusion,active transport,D
1329,Mercury_7137060,Which would most likely be the characteristic of an object with a small volume and large mass?,high density,low pressure,low viscosity,high temperature,A
1330,Mercury_7077543,Which of these describes a small range in the electromagnetic spectrum?,gravity,radiation,electricity,light,D
1331,Mercury_7064155,An idea that the universe originated with an explosion is supported by repeated observations of light from distant galaxies traveling away from Earth. An idea that has been tested repeatedly and is supported by repeated results is most likely a,hypothesis.,theory.,law.,fact.,B
1332,Mercury_182420,Natural selection cannot occur without,competition for unlimited resources.,gradual warming of Earth.,genetic variation in species.,asexual reproduction in species.,C
1333,Mercury_190278,In which of these investigations would pictures from a camera be most useful?,studying bird calls,studying exothermic reactions,studying the growth of plants,studying the diffusion of molecules,C
1334,Mercury_7032900,"Of the examples listed, which event is thought by scientists to have led to the greatest extinction?",a volcano in Hawaii erupting,the construction of the Hoover Dam,"whalers of the 17th, 18th, and 19th centuries",the Mississippi River flooding its banks each summer,C
1335,Mercury_7030643,The human stomach is protected from self-digestion by a layer of,bile.,mucus.,muscle.,white blood cells.,B
1336,NYSEDREGENTS_2016_4_29,"On a field trip, a student holds a frog and reports that it has slippery skin. This is an example of",a measurement,a prediction,an explanation,an observation,D
1337,Mercury_7008278,What most likely happens to soil when crops are not rotated from year to year?,The soil nutrients are depleted.,The soil fertility increases.,The soil becomes more porous.,The soil erodes less rapidly.,A
1338,Mercury_192238,Materials must pass through a cell's semi-permeable membrane in order for energy to be utilized. This process is called,diffusion.,oxidation.,respiration.,reproduction.,A
1339,NYSEDREGENTS_2016_4_8,What is a decomposer?,a living thing that breaks down dead organisms,a living thing that makes its own food,an animal that eats live plants,an animal that hunts other animals,A
1340,Mercury_7171658,Modern technology has had some positive and negative effects on society. Which would be a negative effect of advances in technology?,human jobs replaced by more efficient machines,decrease in production of solid waste,use of alternate sources of energy,reduction in habitat destruction,A
1341,Mercury_7240783,Which of the following allows a cell to become specialized?,location of the cell in the body,function of the cell in the body,different patterns of gene expression,different combinations of genes in the nucleus,C
1342,Mercury_SC_401145,Which tool would be best to use for counting the number of legs on an ant?,ruler,hand lens,calculator,microscope,B
1343,Mercury_SC_415368,A dragonfly develops through incomplete metamorphosis. Which stages does the dragonfly's life cycle include?,egg and larva,egg and nymph,larva and pupa,larva and nymph,B
1344,Mercury_7182980,"When a cold front moves over a land region that has warm, moist air, a transfer of energy occurs. Cold air sinks and pushes warmer air upward. As energy is removed from the air, which change will most likely take place?",Ozone in the atmosphere will decrease.,Less ultraviolet radiation will reach the land.,More water will be absorbed from the area lakes.,Water in the atmosphere will undergo a phase change.,D
1345,NYSEDREGENTS_2005_8_29,Which sequence lists the levels of organization in the human body from simplest to most complex?,organ system -> tissue -> cell -> organ,tissue -> cell -> organ -> organ system,organ -> organ system -> tissue -> cell,cell -> tissue -> organ -> organ system,D
1346,NYSEDREGENTS_2011_8_21,Cancer is best described as,a type of genetic engineering,the merging of sex cells,abnormal cell division,tissue that stops growing,C
1347,Mercury_7263533,"To pump blood through the body, the heart must overcome the force of gravity. Which body position would require the least work from the heart?",sitting,standing,kneeling,lying down,D
1348,Mercury_7112718,"In order to grow two of the exact same plants, a person would reproduce them asexually because the",genetic diversity is greater.,offspring would be genetically identical.,recessive traits would emerge.,negative traits are suppressed.,B
1349,Mercury_183855,"In flowering plants, what structure containing DNA is transported from one plant to another?",nectar,chlorophyll,glucose,pollen,D
1350,MCAS_2007_8_5181,"Several interchangeable parts are used in the manufacture of automobiles. Some examples of these parts are batteries, windshield wiper blades, spark plugs, and tires. Which of the following is an advantage of interchangeable parts over non-interchangeable parts on automobiles?",Interchangeable parts are generally more expensive than custom-made parts for automobiles.,Interchangeable parts break more often now than in years past on most automobiles.,Interchangeable parts are plentiful for custom-made automobiles.,Interchangeable parts can fit many kinds of automobiles.,D
1351,CSZ_2007_5_CSZ20560,Which of the following represents a chemical reaction?,a sugar cube dissolving in water.,ice cubes forming in a freezer.,ice cream melting in a bowl.,a cake baking in an oven.,D
1352,Mercury_7017203,"When a hammer strikes a nail, the nail",exerts balanced forces that helps it from moving.,exerts a force equal to the weight of the hammer.,exerts an unbalanced force that changes its velocity.,exerts an equal and opposite force back on the hammer.,D
1353,Mercury_SC_400385,Which of these natural events occurs at time intervals that are the most regular?,drought and flooding,high tides and low tides,clear skies and cloudy skies,hot weather and cool weather,B
1354,Mercury_SC_407308,A student combined rice cereal with melted marshmallows. Which best describes what the student made?,an atom,a mixture,a molecule,an element,B
1355,Mercury_7097300,"Brittany pedaled her bicycle quickly on a level surface. When she stopped pedaling and coasted, the bicycle slowed and came to a stop. What happened to the energy of the moving bicycle as it coasted to a stop?",It was transferred to heat due to friction.,It was reabsorbed into Brittany's muscles.,It was stored in the bicycle wheels as potential energy.,It was transferred to the air in the form of visible light.,A
1356,MDSA_2009_5_26,"Homes that are built to be environmentally friendly because they use energy more efficiently than other homes are called ""green"" homes. ""Green"" homes often have reflective roofs and walls made of recycled materials. The windows in these energy-saving homes are double-paned, meaning each window has two pieces of glass. Double-paned windows have a layer of air between the window panes. This layer is a barrier against extreme temperatures and saves energy. A solar panel on a ""green"" home uses",chemical energy,mechanical energy,a renewable energy source,a nonrenewable energy source,C
1357,NYSEDREGENTS_2016_4_16,Which process occurs when rocks and soil slide down a mountain?,erosion,migration,recycling,maintenance,A
1358,VASoL_2009_3_5,Tony is studying ladybugs in a garden. Which of these would BEST help Tony to count the spots on a ladybug?,Stopwatch,Thermometer,Measuring cup,Magnifying glass,D
1359,ACTAAP_2009_5_10,Which is a physical property of an apple?,what color it is,how pretty it is,how much it costs,when it was picked,A
1360,Mercury_7211698,Repeated pesticide use on an insect population can result in some of the insects becoming resistant to that pesticide over time. Which process is responsible for the pesticides no longer being effective on the insects?,divergent evolution,natural selection,bottleneck effect,selective breeding,B
1361,NYSEDREGENTS_2009_8_10,A boy pulls a sweater off over his head. His hair is attracted to the sweater due to,a magnetic force,a heat transfer,a chemical change,an electrical charge,D
1362,Mercury_7215635,"In some communities, forests are cleared through burning, and the deforested land is used for farming. Which of these is a negative consequence of this practice?",decreased plant and animal diversity,increased availability of soil nutrients,greater access to water for plants and animals,less sunlight reaching the ground,A
1363,Mercury_7239540,Some plant cells are coated in a waxy layer that prevents water loss. This specialization is found in which plant cells?,internal stem cells,internal root cells,cells on the plant surface,cells in the plant reproductive system,C
1364,Mercury_7214655,Scientists recorded the hourly temperature at a weather station for the month of July and want to quickly measure a trend over time in temperature changes. Which of these formats would be the most appropriate representation of the temperature data to quickly measure any trend?,bar graph,line graph,pie chart,data table,B
1365,Mercury_7168840,A factory in Japan had been dumping mercury into Minamata Bay. Certain microorganisms in the water were able to change the mercury into a form that the plankton could use. Which most likely happened next?,The organisms built up a resistance to the mercury.,The mercury passed through the food chain.,The plankton made the mercury safe.,The fish would not eat the plankton.,B
1366,Mercury_7159548,"Students conducted an investigation with green bananas. They hypothesized that an onion placed near a banana could increase the rate at which the banana ripened. They placed one onion and one banana in each of three containers. In a fourth container they placed a banana, but no onion. Which statement best explains why the onion was left out of the fourth container?",The onion would contaminate the fourth trial.,The container without the onion is the control.,Three containers with onions are enough to conduct the test.,The container without the onion is the independent variable.,B
1367,Mercury_SC_405505,"When cold weather freezes water in the cracks of rocks, which would most likely happen?",The rocks would become rounded.,The rocks would be used for shelter.,The rocks would be moved by the wind.,The rocks would break into smaller pieces.,D
1368,Mercury_7041073,What would best regulate the temperature of an overheated body?,a decrease in sweating,a decrease in the breathing rate,a dilation of blood vessels in the skin,an increase in heart rate,C
1369,MDSA_2009_8_33,The surface of Earth is constantly changing. Which of these findings provides the best evidence that the crustal surface of Earth has changed over time?,Some rock layers are very thick.,Some species have become extinct.,Marine fossils are found in mountain areas.,Igneous rock is found on all tectonic plates.,C
1370,MEA_2016_8_6,Solar radiation is a combination of light with different wavelengths. Which type of ray can harm human skin the most?,infrared,microwave,ultraviolet,visible,C
1371,Mercury_SC_405529,Water is often put through a treatment system before it is used in homes as drinking water. Which is the most likely reason water is treated before people drink it?,to remove harmful substances,to add color,to increase its supply,to decrease its temperature,A
1372,Mercury_SC_407290,How can plants most likely improve air quality?,by absorbing nutrients,by producing oxygen,by producing sugar,by absorbing water,B
1373,Mercury_7138268,"A condition in bees called ""colony collapse disorder"" occurs when worker bees leave the hive to collect nectar and never return. How would a decline in the bee population most likely affect a farm ecosystem?",There would be a decrease in soil thickness.,There would be a decline in fruit production.,There would be an increase in plant diseases.,There would be an increase in insect pest populations.,B
1374,Mercury_7058083,How are animals that prey on other animals classified?,herbivores,carnivores,autotrophs,decomposers,B
1375,TAKS_2009_5_9,Which process will separate the sugar from a mixture of sugar and water?,Stirring the mixture,Evaporating the water,Adding more water,Adding more sugar,B
1376,Mercury_7235830,Which movement of carbon between reservoirs takes the longest to achieve?,from burning coal to the atmosphere,from plant tissues to coal in the crust,from the atmosphere to the sugars in plants,from the respiration of fish to the ocean waters,B
1377,ACTAAP_2011_5_17,Which types of objects are most easily seen by the human eye?,objects that reflect most of the light that strikes them,objects that refract most of the light that strikes them,objects that diffract most of the light that strikes them,objects that absorb most of the light that strikes them,A
1378,Mercury_7001645,Planting legumes in order to add nitrogen to soil most likely causes,a decrease in the amount of acid rain.,an enrichment in the fertility of the soil.,an increase in the ratio of nitrogen to oxygen in the system.,a reduction in the soil's ability to manufacture its own nitrogen.,B
1379,Mercury_410595,Earth is about 81 times more massive than the Moon. How will the mass and weight of a rocket on the Moon compare to its mass and weight on Earth?,The mass and weight will be less on the Moon.,The mass and weight will be greater on the Moon.,"The mass will be the same, but its weight will be less on the Moon.","The mass will be the same, but its weight will be greater on the Moon.",C
1380,Mercury_186393,"Louis Pasteur discovered a process that allows milk to be stored in sealed containers for long periods of time without spoiling. The process, called pasteurization, involves heating the milk before placing it in the sealed containers.Which is the best explanation of how pasteurization works?",Heat strengthens molecules that prevent spoiling.,The chemical structure of the food changes with the heat.,Heat killed microorganisms that could cause spoiling.,The food particles are better mixed after heating.,C
1381,Mercury_SC_401299,Which characteristic would best help a land animal survive in a cold Arctic climate?,thick fur,large ears,smooth feet,slender body,A
1382,Mercury_SC_400165,What is the most reasonable explanation for why a toy car rolls farther on a wood floor than on a thick carpet?,The car weighs more on the carpet.,The car weighs more on the floor.,The carpet has more resistance.,The floor has more traction.,C
1383,Mercury_SC_401824,What part of the scientific method involves measuring the growth of a plant over a one-month period?,analysis,observation,conclusion,hypothesis,B
1384,Mercury_SC_400294,Which statement on a toothpaste package best supports the claim of fighting cavities?,delivers great new flavor,patented triple cleansing action,guaranteed to make teeth sparkle,certified by the American Dental Association,D
1385,Mercury_7082723,Which is a chemical compound?,aluminum,carbonated water,sodium chloride,carbon-14,C
1386,VASoL_2011_5_23,Which of these human activities in a forest has a positive effect on the ecosystem?,Clearing the land to build new homes,Planting new trees where old ones were cut down,Building a new highway through the area,Cutting down trees to make farmland,B
1387,NAEP_2005_4_S13+9,Which is an example of water condensing?,A puddle disappearing on a hot summer afternoon,Sweat forming on your forehead after you do a lot of exercise,Ice cubes melting when you put them out in the sun,Dew forming on plants during a cold night,D
1388,Mercury_7004445,"Gregor Mendel studied ratios related to traits passed from parent pea plants to offspring pea plants. Mendel used large numbers of plants to avoid ""sampling error."" This changed the way scientists studied genetics because it included ideas of",nuclei and DNA.,atoms and molecules.,ecology and environment.,mathematics and probability.,D
1389,Mercury_7040898,What season is the Northern Hemisphere experiencing when it is tilted directly toward the Sun?,fall,winter,spring,summer,D
1390,TIMSS_1995_8_J2,Which species have been on the Earth for the shortest amount of time?,Humans,Insects,Fish,Reptiles,A
1391,Mercury_7014578,Which tool should be used to compare the growth of an algal colony growing in a petri dish?,a scale,a ruler,a hand lens,a balance scale,C
1392,MDSA_2007_8_5,"Use The Periodic Table of the Elements and the information below to answer the question. Magnesium metal (Mg) is grayish-white in color and reacts actively with water. Fluorine (F2) is a greenish-yellow gas at room temperature and is a member of the halogen family. These two elements react to produce magnesium fluoride (MgF2), a chemical commonly used in making windows and lenses. How do the elements magnesium (Mg) and fluorine (F2) produce the compound magnesium fluoride (MgF2)?",by nuclear connection,by physically combining,by magnetic connection,by chemically combining,D
1393,Mercury_7159233,Male barn swallow birds with symmetrically-shaped wings find mates more quickly than males with asymmetrical wing shapes. Which statement best explains the significance of symmetry in the barn swallow population?,Symmetrical wings are attractive to females.,Symmetrical wings indicate genetic mutations.,Symmetrical wings indicate that males are good predators.,Symmetrical wings are signs that a bird is very aggressive.,A
1394,Mercury_7011253,Which of the following would be most useful for calculating the density of a rock sample?,microscope and balance,graduated cylinder and balance,microscope and graduated cylinder,beaker and graduated cylinder,B
1395,AKDE&ED_2008_4_16,Which object in our solar system reflects light and is a satellite that orbits around one planet?,Earth,Mercury,the Sun,the Moon,D
1396,Mercury_SC_408396,"Students stir salt, sand, sawdust, and seashells into a jar filled with water. Which of the materials will form a solution?",salt and water,sand and sawdust,seashells and water,sawdust and seashells,A
1397,Mercury_7236565,Which scale is used to report the intensity of an earthquake?,Saffir-Simpson Scale,Modified Mercalli Scale,Richter Magnitude Scale,Moment Magnitude Scale,B
1398,NYSEDREGENTS_2009_8_27,What is the outermost structure in a plant cell?,cell membrane,cytoplasm,cell wall,chloroplast,C
1399,Mercury_SC_409237,The main source of food for a coyote population in one area is mice. Which is most likely to happen to these coyotes if a new predator begins eating the mice?,There will be fewer coyotes.,The coyotes will produce more young.,More coyotes will arrive from other locations.,Each coyote will spend less time hunting food.,A
1400,Mercury_7056630,The best example of heat transfer by convection is when,sunlight warms soil.,a ceiling fan blows air.,flames heat up a pan.,heat rises in a chimney.,D
1401,Mercury_7119770,A worker needs to load a heavy box onto a truck. The worker uses a ramp to move the box because the ramp,increases the weight of the box.,reduces the gravitational force on the box.,increases the amount of friction on the box.,reduces the amount of force applied to the box.,D
1402,NYSEDREGENTS_2011_4_23,A fox grows thicker fur as a season changes. This adaptation helps the fox to,find food,keep warmer,grow stronger,escape from predators,B
1403,Mercury_417698,What is the main source of raw material for the production of plastics?,clay,plants,petroleum,sand,C
1404,MCAS_2010_5_5,The students in an engineering class built a robot that stacks wooden blocks. A built-in computer controls the movement of the robot. The computer in the robot performs a function most similar to which part of the human body?,lungs,heart,brain,arms,C
1405,Mercury_7092050,"When sugar is heated on a hot plate, it turns into a liquid. When the liquid sugar is cooled, a hard-crystalline substance is formed. This model best demonstrates the formation of",molten rocks.,igneous rocks.,sedimentary rocks.,metamorphic rocks.,B
1406,Mercury_7026670,Which distance is the smallest for which it is most practical to use the light-year as a unit of measurement?,the distance between Earth and its Moon,the distance between Jupiter and the Sun,the distance between the Milky Way and the nearest galaxy,the distance between the Sun and the center of the Milky Way,D
1407,MCAS_2006_9_19,Which of the following devices relies on electromagnetic radiation in the radio wave region of the spectrum for operation?,sun tanning lamp,electric light bulb,cellular telephone,electric toaster,C
1408,Mercury_7228743,"When a tree suffers from a decreased ability to transport materials within the phloem, what is directly impacted?",volume of water in the xylem,flow of necessary nutrients,response to environmental factors,rate of photosynthesis in leaves,B
1409,Mercury_7009415,"Strontium, barium, and radium are grouped together on the Periodic Table of the Elements because they all have",a bright silver and white coloring.,similar electron configurations.,strong radioactive properties.,few or no stable isotopes.,B
1410,NYSEDREGENTS_2005_4_15,An example of a poor health habit is,taking a bath or shower regularly,handwashing after using the bathroom,playing on a soccer team,eating candy instead of lunch,D
1411,Mercury_183050,What type of inheritance controls blood types in humans?,incomplete dominance,polygenic inheritance,multiple alleles,recessive genes,C
1412,Mercury_7085540,"Minerals can be identified using hardness, streak, and cleavage because",minerals are inorganic.,crystal structure is too hard to determine.,crystal size is determined by the environment.,minerals have different recognizable properties.,D
1413,Mercury_7044258,What is the process that produces energy in the Sun for billions of years?,fission,fusion,solar winds,solar radiation,B
1414,Mercury_7068793,Which statement is an opinion?,Chemistry and Physics are major branches of science.,Life Science is a subject filled with interesting information.,Geology and Oceanography are subjects in Earth Science.,Biology is a science that studies complex organisms.,B
1415,Mercury_403253,Decomposers are organisms that obtain their food from dead organisms. Which of these would be classified as decomposers?,"algae, plants","snakes, wolves, whales","deer, rabbits, mice","bacteria, fungi",D
1416,Mercury_7174790,DNA molecules contain the genetic information that determines the characteristics of a living organism. How do DNA molecules express the genetic information they contain?,by breaking down proteins within the cell,by directing the process of protein synthesis,by regulating the storage of cellular proteins,by controlling the movement of protein molecules,B
1417,TIMSS_2003_8_pg17,Fossil fuels were formed from,volcanoes,the remains of living things,gases in the atmosphere,water trapped inside rocks,B
1418,Mercury_189700,Which of the following remains constant in Earth's carbon cycle?,the total mass of available carbon,the way organisms use carbon,the physical state of carbon-containing molecules,the molecule in which a particular carbon atom is found,A
1419,AIMS_2008_4_9,Which invention has technology that helps people keep food fresh for a long period of time?,dishwasher,refrigerator,electric mixer,microwave oven,B
1420,Mercury_7184660,A student is designing a model of the solar system and writing a report. She is trying to be as accurate as possible. Which statement should she include in her report?,The distance between the Sun and Earth is measured in light years.,Jupiter and Uranus are considered to be terrestrial planets.,The asteroid belt is located between Jupiter and Saturn.,The orbit of Mars is similar to the orbit of Saturn.,D
1421,Mercury_SC_408356,"Stacey picks apples and puts them in a basket. When she puts her basket on a scale, the scale reads two kilograms (kg). What property is Stacey measuring?",height,weight,temperature,volume,B
1422,Mercury_SC_401184,Which feature is a physical property of copper?,insulates heat,conducts electricity,strong magnetic force,liquid at room temperature,B
1423,Mercury_SC_415490,Which term describes Earth's orbit around the Sun?,day,revolution,month,rotation,B
1424,Mercury_SC_400011,How do the waxy stem covering and needle-shaped leaves improve the ability of a cactus to survive in the desert?,They make the plant appetizing to small desert animals.,They prevent the loss of oxygen through photosynthesis.,They reduce the loss of water from the plant to the air.,They provide the storage space for different types of minerals.,C
1425,Mercury_7216405,Which characteristic of a cell membrane allows it to control materials entering and leaving a cell?,A cell membrane is surrounded by fluid.,A cell membrane is semipermeable.,A cell membrane holds organelles in place.,A cell membrane is found in plant and animal cells.,B
1426,Mercury_7074883,Which statement about all living organisms is true?,They have limbs.,They produce their own food.,They breathe air.,They have at least one cell.,D
1427,AKDE&ED_2008_4_14,The length of daylight changes as the seasons change during the year. What causes these changes in daylight?,Earth's tilt on its axis,the Sun's tilt on its axis,Earth spinning on its axis,the Sun spinning on its axis,A
1428,Mercury_7011200,The populations of black rhinoceroses have been impacted by human interactions to the point of being endangered. Which interaction best explains why the black rhino is now endangered?,over hunting,water pollution,airborne diseases,increased deforestation,A
1429,Mercury_SC_405714,"A student had a cup of ice while working outside. After a while, the ice melted because the Sun emits energy in the form of light and",electricity.,heat.,magnetism.,sound.,B
1430,Mercury_7227868,What characteristic of viruses distinguishes them from cells?,They do not have hereditary material.,They are not separated from their environments.,They lack an independent metabolism.,Their traits do not evolve in response to selection pressures.,C
1431,Mercury_182595,The energy required to lift an object is supplied by ATP derived from the breakdown of molecules of,glutamate.,glycerol.,glycolysis.,glucose.,D
1432,Mercury_7194390,Living cells synthesize long chains of amino acids called proteins. Which substance provides the information needed to correctly sequence the amino acids during protein synthesis?,ATP,mRNA,tRNA,DNA,D
1433,Mercury_7251090,Which of these makes it possible for hurricanes to form?,water depth,water clarity,water salinity,water temperature,D
1434,Mercury_SC_400527,Most types of cacti survive the dry conditions of a desert because they hold water in their stems. This is an example of,a niche.,a species.,an adaptation.,an ecosystem.,C
1435,Mercury_7217858,High-altitude cirrus clouds are primarily formed from which substance?,carbon dioxide gas,solid ice crystals,nitrogen compounds,ozone molecules,B
1436,AKDE&ED_2012_8_28,During a lab investigation a scientist heats a solid substance. The scientist observes that the solid has two different melting points. The scientist is able to separate the two resulting liquids. Which statement best classifies the original solid substance?,It was an atom.,It was a mixture.,It was an element.,It was a compound.,B
1437,LEAP_2002_8_10388,"Over a long period of time, some flowering plants have become dependent on honey bees to fertilize their seeds. In recent years, a form of mite has infected and killed the honey bees in many areas of the country. Since this has happened, the once bee-dependent plants with the best chance of surviving are those that",grow taller so that the few remaining honey bees will find them.,change their flowers so that wind will fertilize them.,have always attracted many other insects as well as honey bees.,have seeds that stay alive for a long time in the environment.,C
1438,Mercury_SC_413080,Which landforms are most like hills but are much taller?,caves,mountains,plains,valleys,B
1439,MEA_2016_8_17,What is the basic unit of life?,atom,cell,element,nucleus,B
1440,MCAS_2004_8_29,About how many Earth days does it take the Moon to travel around Earth?,1,27,180,365,B
1441,Mercury_7214690,Students studying the atmosphere want to display the percentage of each greenhouse gas as compared to the total amount of greenhouse gases found in the atmosphere. Which representation would be most appropriate for displaying these percentages?,bar graph,line graph,pie chart,data table,C
1442,Mercury_7234325,The Himalayan Mountain chain is the youngest and tallest mountain chain on Earth. Which phenomenon contributed most to this area of continental buildup?,erosion of surrounding continental materials,eruptions of continental shield volcanoes,convergence of continental plates,subsidence of continental landmass,C
1443,ACTAAP_2010_7_4,"A large cold front is moving past the school on a hot, humid summer day. Which best describes the type of weather as the cold front passes by?",A drought,A monsoon,A hurricane,A thunderstorm,D
1444,NYSEDREGENTS_2005_8_41,Growth and repair in multicellular organisms are the result of,excretion,locomotion,cell division,decomposition,C
1445,NYSEDREGENTS_2004_4_22,A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because,heat energy can be transferred from one object to another,mechanical energy can be transferred from one object to another,sound energy can be reflected from one object to another,light energy can be reflected from one object to another,D
1446,VASoL_2007_3_31,"If a wooded area is cleared and corn is planted, what will MOST likely happen?",Animal habitats will be destroyed.,The air will become polluted.,Weather patterns will change.,Underground streams will get polluted.,A
1447,Mercury_7186970,"Warm water contains less dissolved oxygen than colder water. Which population will be most affected by a long period of hot, dry days?",fish in ponds,fish in oceans,plants in lakes,plants in streams,A
1448,MCAS_2004_8_31,Which of the following is most responsible for the decay of dead organisms?,water,mammals,microorganisms,nitrogen,C
1449,Mercury_SC_402266,"When a book is dropped onto a wooden desk, the molecules in the wood begin to vibrate from the force of the book. Which of these is produced by the vibrations?",friction,interference,sound waves,ultrasonic waves,C
1450,Mercury_7123288,"In 1976, the Viking I Lander was sent to Mars to analyze atmospheric gases and soil samples. The Viking I Lander was most likely a",space probe.,space shuttle.,lunar module.,natural satellite.,A
1451,NYSEDREGENTS_2006_8_12,Which action forms a different chemical substance?,crushing a rock,burning a piece of wood,mixing salt and pepper,melting an ice cube,B
1452,NCEOGA_2013_5_58,Why do dogs have most of the characteristics of their parents?,They inherit them from their parents.,They live in the same habitats as their parents.,They learn them by observing their parents.,They eat the same foods as their parents.,A
1453,Mercury_SC_401362,Which describes a specific characteristic necessary for survival in the desert?,conserving water,hiding from predators,hibernating for long periods,producing many offspring,A
1454,NYSEDREGENTS_2004_4_14,Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things,go through a life cycle,form a food web,act as a source of food,affect other parts of the ecosystem,A
1455,Mercury_404985,Quartz and feldspar are two common minerals. When they are found mixed together in nature they form,rocks.,magma.,soil deposits.,organic material.,A
1456,Mercury_7264058,Atoms of which of these elements are part of many organic molecules?,calcium,magnesium,oxygen,silicon,C
1457,NYSEDREGENTS_2006_4_9,Which object is the best conductor of electricity?,metal fork,rubber boot,plastic spoon,wooden bat,A
1458,Mercury_7032655,An element with which property would be best to use in electrical wiring?,insulator,conductor,malleable,porous,B
1459,MSA_2013_5_12,A large rock breaks into small pieces within 10 years. Which process is most likely responsible for breaking the large rock into small pieces within 10 years?,steady winds blowing throughout the years,gentle rain falling during each spring and fall,lack of rain falling during a four-year drought,water repeatedly freezing and thawing in a crack,D
1460,Mercury_SC_407787,Paco throws a ball. What force pulls the ball down toward the ground?,friction,gravity,inertia,momentum,B
1461,Mercury_SC_401289,Which is a unit of measure for length?,meters,degrees,milliliters,atmospheres,A
1462,NYSEDREGENTS_2005_8_5,Movement of Earth's crust along plate boundaries produces,fronts,tides,hurricanes,earthquakes,D
1463,Mercury_7107958,The praying mantis is well camouflaged in its natural habitat. What is a benefit of this adaptation?,It increases the mutation rate of favorable genes.,It reduces the risk of being eaten by a predator.,It allows absorption of chlorophyll from plants.,It improves the chances of finding a mate.,B
1464,Mercury_7212415,"The Greek philosopher Aristotle described matter with the phrase ""unable to be divided."" The modern concept that grew from Aristotle's idea is the",atom.,proton.,neutron.,electron.,A
1465,MSA_2015_5_39,"Paleontologists often find and study the remains of ancient plants and animals. When the remains of ancient plants and animals are covered by layers of sediment over time, the remains",melt,dissolve,become a fossil,evaporate into vapor,C
1466,MCAS_2006_8_2,What are the basic structural units of living organisms?,cells,nuclei,organs,tissues,A
1467,Mercury_7086135,A student is visiting a local limestone quarry and finds fossils of seashells. The quarry is located hundreds of miles from the ocean. The fossils best indicate that,this area was once below sea level.,global temperature changed over time.,erosion took place after a flood.,volcanic activity affected the area.,A
1468,NCEOGA_2013_5_47,What happens to metal railroad tracks during the heat of a summer day?,decrease in weight,increase in weight,decrease in length,increase in length,D
1469,Mercury_7191590,"Jake is testing how light affects plant growth. He grows two plants in identical pots with the same amount of water and fertilizer. Jake grows one of the plants in the sun, and the other in the shade. Which part of Jake's process indicates that there is a control for this investigation?",He is growing plants in identical pots.,He is using the same amount of water.,He is growing one plant out of the sun.,He is using the same amount of fertilizer.,C
